class,order,family,genus,specificEpithet,12S,16S,COI,cytB,ITS,matK,psbA-trnH,rbcL,cpGenome_total,mtGenome_total,nucGenome_total,otherLoci_total,total_sequences,cpGenome_GB,mtGenome_GB,nucGenome_GB,otherLoci_GB,cpGenome_RS,mtGenome_RS,nucGenome_RS,otherLoci_RS
Arachnida,Amblypygi,Charinidae,Charinus,australianus,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,sp.,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,sp.,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,ioanniticus,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,14,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,seychellarum,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,sp.,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,kakum,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,rocamadre,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
Arachnida,Amblypygi,Charinidae,Charinus,aguayoi,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,brachydactylus,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,buxtoni,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,cochinensis,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,cochinensis,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,singaporae,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,rimosus,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,yayukae,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,sp.,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0
Arachnida,Amblypygi,Charinidae,Sarax,israelensis,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charinidae,Weygoldtia,davidovi,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Arachnida,Amblypygi,Charinidae,Weygoldtia,sp.,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Charontidae,Stygophrynus,sp.,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Charontidae,Stygophrynus,sp.,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Charontidae,Stygophrynus,sp.,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,medius,1,1,1,0,0,0,0,0,0,0,0,6,9,0,0,0,6,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,diadema,3,3,1,0,1,0,0,0,0,2,0,16,26,0,1,0,16,0,1,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,annulatipes,3,3,0,0,0,0,0,0,0,0,0,12,18,0,0,0,12,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,sylviae,2,2,0,0,0,0,0,0,0,0,0,8,12,0,0,0,8,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,variegatus,4,6,0,0,0,0,0,0,0,0,0,24,34,0,0,0,24,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,gracilis,2,2,1,0,0,0,0,0,0,0,0,10,15,0,0,0,10,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Damon,johnstonii,0,0,3,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Euphrynichus,bacillifer,1,1,0,0,0,0,0,0,0,0,0,11,13,0,0,0,11,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Musicodamon,atlanteus,1,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Phrynichodamon,scullyi,1,1,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Phrynichus,scaber,1,1,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Phrynichus,orientalis,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Trichodamon,sp.,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynichidae,Xerophrynus,machadoi,1,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Heterophrynus,sp.,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
